author,author_link,category,comment_count,content,like_count,link,publish_date,read_count,retweet_count,summary,title
饭勺oO,https://www.cnblogs.com/fanshaoO,博客园文章,0,"AI对话就像中医把脉，得慢慢调 各位""AI驯兽师""们好！想象一下你第一次去老中医馆：大夫不会直接开药，而是先问""哪里不舒服？""→ 把脉看舌苔→调整药方→复诊观察。AI对话修正也是这个理儿！ • 初诊阶段：AI给出第一版回答（相当于大夫号脉） • 复诊环节：你指出""舌苔发黄""（数据错误）或""脉象 ...",0,https://www.cnblogs.com/fanshaoO/p/18745242,,0,0,"AI对话就像中医把脉，得慢慢调 各位""AI驯兽师""们好！想象一下你第一次去老中医馆：大夫不会直接开药，而是先问""哪里不舒服？""→ 把脉看舌苔→调整药方→复诊观察。AI对话修正也是这个理儿！ • 初诊阶段：AI给出第一版回答（相当于大夫号脉） • 复诊环节：你指出""舌苔发黄""（数据错误）或""脉象 ...",精准度提升：反馈修正机制实战指南
削微寒,https://www.cnblogs.com/xueweihan,博客园文章,0,上周，DeepSeek 发布的开源项目用一个词形容就是：榨干性能！由于篇幅有限，这里仅列出项目名称和简介，感兴趣的同学可以前往 DeepSeek 的开源组织页面，深入探索每个项目的精彩之处！ 第一天 FlashMLA：基于 Hopper GPU 的高效 MLA 解码内核 第二天 DeepEP：专为  ...,0,https://www.cnblogs.com/xueweihan/p/18749754,,0,0,上周，DeepSeek 发布的开源项目用一个词形容就是：榨干性能！由于篇幅有限，这里仅列出项目名称和简介，感兴趣的同学可以前往 DeepSeek 的开源组织页面，深入探索每个项目的精彩之处！ 第一天 FlashMLA：基于 Hopper GPU 的高效 MLA 解码内核 第二天 DeepEP：专为  ...,DeepSeek 开源周回顾「GitHub 热点速览」
SHARP-EYE,https://www.cnblogs.com/sharpeye,博客园文章,0,简单总结一下processing-java.exe的使用，以及和PowerShell结合，如何互相调用和传参。 Processing-java 这是 processing-java.exe 的官方说明: Command line edition for Processing 1295 (Java M ...,0,https://www.cnblogs.com/sharpeye/p/18749012,,0,0,简单总结一下processing-java.exe的使用，以及和PowerShell结合，如何互相调用和传参。 Processing-java 这是 processing-java.exe 的官方说明: Command line edition for Processing 1295 (Java M ...,浅谈processing-java.exe应用程序的使用（与PowerShell的联合）
鹏展-penggeon,https://www.cnblogs.com/penggeon,博客园文章,0,本博客详细介绍了DHT11数字温湿度传感器的工作原理、通信协议及其与STM32的接线方式，并提供了完整的驱动代码与示例程序，帮助读者实现温湿度数据采集与显示，适用于嵌入式开发者学习和参考。 ...,0,https://www.cnblogs.com/penggeon/p/18749612,,0,0,本博客详细介绍了DHT11数字温湿度传感器的工作原理、通信协议及其与STM32的接线方式，并提供了完整的驱动代码与示例程序，帮助读者实现温湿度数据采集与显示，适用于嵌入式开发者学习和参考。 ...,STM32实战——DHT11温湿度获取并展示
Code_Cracke,https://www.cnblogs.com/proer-blog,博客园文章,0,想掌握 Vue3 路由的精髓？这篇文章深入解析了从安装配置到导航操作的完整流程，手把手教你实现声明式与编程式导航，玩转动态路由、嵌套路由和路由守卫。 ...,0,https://www.cnblogs.com/proer-blog/p/18749579,,0,0,想掌握 Vue3 路由的精髓？这篇文章深入解析了从安装配置到导航操作的完整流程，手把手教你实现声明式与编程式导航，玩转动态路由、嵌套路由和路由守卫。 ...,Vue3 路由配置与导航全攻略：从零到精通
荣--,https://www.cnblogs.com/Rong-,博客园文章,0,"目录ZLMediaKit是什么编译安装依赖库构建项目问题处理问题1： srtp 未找到, WebRTC 相关功能打开失败问题2：依赖库问题安装配置和运行问题处理问题1： 无权限监听554端口问题2： 80端口已经被使用推流测试RTSP推流准备准备视频文件安装VLC推流拉流验证问题：拉流失败ZLMed ...",0,https://www.cnblogs.com/Rong-/p/18749517,,0,0,"目录ZLMediaKit是什么编译安装依赖库构建项目问题处理问题1： srtp 未找到, WebRTC 相关功能打开失败问题2：依赖库问题安装配置和运行问题处理问题1： 无权限监听554端口问题2： 80端口已经被使用推流测试RTSP推流准备准备视频文件安装VLC推流拉流验证问题：拉流失败ZLMed ...",ZLMediaKit: 快速入门
东阳马生架构,https://www.cnblogs.com/mjunz,博客园文章,0,大纲 1.Redisson可重入锁RedissonLock概述 2.可重入锁源码之创建RedissonClient实例 3.可重入锁源码之lua脚本加锁逻辑 4.可重入锁源码之WatchDog维持加锁逻辑 5.可重入锁源码之可重入加锁逻辑 6.可重入锁源码之锁的互斥阻塞逻辑 7.可重入锁源码之释放锁 ...,0,https://www.cnblogs.com/mjunz/p/18749444,,0,0,大纲 1.Redisson可重入锁RedissonLock概述 2.可重入锁源码之创建RedissonClient实例 3.可重入锁源码之lua脚本加锁逻辑 4.可重入锁源码之WatchDog维持加锁逻辑 5.可重入锁源码之可重入加锁逻辑 6.可重入锁源码之锁的互斥阻塞逻辑 7.可重入锁源码之释放锁 ...,分布式锁—2.Redisson的可重入锁
罗西的思考,https://www.cnblogs.com/rossiXYZ,博客园文章,0,从零开始解析Transformer，目标是：(1) 解析Transformer如何运作，以及为何如此运作，让新同学可以入门；(2) 力争融入一些比较新的或者有特色的论文或者理念，让老鸟也可以有所收获。 ...,0,https://www.cnblogs.com/rossiXYZ/p/18746838,,0,0,从零开始解析Transformer，目标是：(1) 解析Transformer如何运作，以及为何如此运作，让新同学可以入门；(2) 力争融入一些比较新的或者有特色的论文或者理念，让老鸟也可以有所收获。 ...,探秘Transformer系列之（9）--- 位置编码分类
扛枪的书生,https://www.cnblogs.com/kqdssheng,博客园文章,0,本文通过 Google 翻译 Insecure GUI Applications – Windows Privilege Escalation 这篇文章所产生，本人仅是对机器翻译中部分表达别扭的字词进行了校正及个别注释补充。 导航 0 前言 1 查找高权限的 GUI 程序 2 从不安全的 GUI 程 ...,0,https://www.cnblogs.com/kqdssheng/p/18748804,,0,0,本文通过 Google 翻译 Insecure GUI Applications – Windows Privilege Escalation 这篇文章所产生，本人仅是对机器翻译中部分表达别扭的字词进行了校正及个别注释补充。 导航 0 前言 1 查找高权限的 GUI 程序 2 从不安全的 GUI 程 ...,Windows 提权-不安全的 GUI 程序
IT规划师,https://www.cnblogs.com/hugogoos,博客园文章,0,.NET10预览版发布，含C#14预览版。安装需下载SDK，创建.NET10类库需开启预览版SDK功能。C#14新增field关键字、nameof表达式支持未绑定泛型、Span隐式转换等功能。测试代码已上传至代码库。 ...,0,https://www.cnblogs.com/hugogoos/p/18748741,,0,0,.NET10预览版发布，含C#14预览版。安装需下载SDK，创建.NET10类库需开启预览版SDK功能。C#14新增field关键字、nameof表达式支持未绑定泛型、Span隐式转换等功能。测试代码已上传至代码库。 ...,.NET10 - 预览版1新功能体验（一）
